La,Ce,Pr,Nd,Sm,Y,Ca,Zr,Mg,Ni,Co,Al,Mn,Zn,Cr,Temp,cap,iziritsu,density,Pd80_04,Pd80_05
0.008179453,0.084755086,0.031203666,0.329842123,0.082679402,0.087069135,0.107947258,0.046687902,0.142235862,5.86547472,0.063666267,0.041615562,0.002074716,0.012391418,0.025394969,1547.542573,559.4318367,1.181042095,9.757235049,1.088000065,0.158622126
0.32907188,0.004096605,0.087713747,0.086802624,0.003149418,0.07951881,0.390575186,0.096920478,0.57457108,1.021774099,0.042859036,0.041581982,0.079877802,0.088372961,0.051809224,274.3608337,757.4055307,0.550662088,9.14761275,0.209704322,0.179680597
0.564329757,0.092899325,0.03674917,0.061178061,0.07512252,0.059926487,0.004269716,0.029033596,0.387871537,0.618953539,0.098835892,0.0910811,4.23E-02,0.026558413,0.030448744,1079.660448,248.4949752,0.641312677,14.99419029,0.132295806,0.153189693
0.034822962,0.031385368,0.078736333,0.007857186,1.397136017,0.060484702,0.009319984,0.035657256,0.092771292,3.24377865,0.088069299,0.166840072,0.051092116,0.068238055,0.074221061,553.1233126,368.6880861,1.14632678,2.407702457,0.109626522,0.280453165
0.394602287,0.021806211,0.016727624,1.108391263,0.065792846,0.011132807,0.09485501,0.015255418,0.21819932,2.566221441,0.03542462,0.231540436,0.00989945,0.042968226,0.081477131,1719.699452,591.7577956,0.185061812,8.662996123,0.075902112,0.064075285
1.022957453,0.059139121,0.055454498,0.061800519,0.072080781,0.123897339,0.095817419,0.035671699,0.146988007,1.00747738,0.060109538,0.062493402,0.098614125,0.008314022,0.066420431,515.8449097,231.6457504,1.263963204,0.768118744,0.090690017,0.193338104
0.015277029,0.097145784,0.025481963,0.115298951,0.054140723,0.046566673,0.334380973,0.027191972,0.318238471,1.805878111,0.043959172,0.035567547,0.029035377,0.063326379,0.038075725,771.8492807,546.1272212,0.913473364,13.88101185,0.322220757,0.193347621
0.482391288,0.098844497,0.08819802,0.053246299,0.441114378,0.099124938,0.051552197,0.017500476,0.249256224,3.775803725,0.091069048,0.079321027,0.082103482,0.067732923,0.093633506,100.4310417,647.1239956,0.659674815,14.05481313,0.203713472,0.355958024
1.420075615,0.07556857,0.059120094,0.024594986,0.077513268,0.008308014,0.029370494,0.042916076,0.457568638,5.260463399,0.009860771,0.093158266,0.06976139,0.022198143,0.066425324,310.6287083,77.71849722,1.562665053,15.21413891,0.070489594,0.211924627
0.211714498,0.093757162,0.006123605,0.040581049,1.170689059,0.096966285,0.009836316,0.09319822,0.121706113,6.494389481,0.058747143,0.227356654,0.040462506,0.068076982,0.0547507,89.43737632,358.218366,1.755242231,2.833562248,0.152251157,0.217907351
0.718466441,0.04296664,0.01619614,0.094738327,0.159000654,0.025521775,0.085575045,0.01373688,0.159640291,4.782394162,0.024135968,0.013799858,0.054464378,0.054534663,0.000837353,190.551798,381.8911163,0.785153704,9.345569827,0.104392752,0.34716277
0.15467818,0.075739146,0.029622112,0.458564833,0.066210322,0.022587494,0.359947582,0.05326445,0.34424631,4.278587639,0.036560242,0.092303297,0.079921713,0.045954903,0.071176539,603.8762205,668.2135404,1.380782749,3.013174068,0.225864436,0.513510384
0.567029426,0.067255517,0.018468252,0.09458946,0.063117483,0.034456026,0.498892258,0.037942917,0.17953768,3.167132779,0.019827638,0.026941036,0.01917137,0.034694683,0.045128115,262.440139,241.3940243,1.570209469,3.078170545,0.04663698,0.235535874
0.582029816,0.050999616,0.046789761,0.046327821,0.346873618,0.038807221,0.073883929,0.076795423,0.295021144,2.855376383,0.050701696,0.110511517,0.029206365,0.017554815,0.044280863,1420.670412,249.230798,1.540146032,7.648313741,0.066597296,0.051441135
0.54547503,0.035255542,0.061721893,0.037403137,0.024872855,0.010735109,0.362314882,0.018156339,0.333296376,0.076781639,0.040660634,0.070830032,0.02703114,0.064042404,0.089958566,1364.728234,464.8442276,1.496797048,13.1300354,0.085859948,0.181074719
0.089214874,0.037610806,0.020428744,0.03938382,0.56000308,0.083905493,0.099429618,0.029697862,0.019299512,2.6758727,0.034338151,0.098084435,0.004188187,0.009686052,0.075737377,585.1530965,602.563644,1.394902048,0.347239384,0.149798916,0.642061361
1.283559364,0.056985153,0.00495344,0.069685508,0.041103746,0.013523744,0.091102334,0.025586914,0.478505879,3.347508728,0.037158888,0.134276038,0.035624199,0.034972935,0.053079685,965.1037922,471.9963499,1.778743937,11.96041522,0.081305831,0.177003657
0.201363769,0.01963804,0.028799406,0.050771674,1.141798572,0.086367263,0.080981072,0.002083957,0.074525728,4.736843359,0.060280726,0.478706959,0.053223526,0.094827263,0.07679337,1107.064602,531.8010869,1.303681206,7.923068089,0.348062965,0.116526223
0.168784649,0.079684494,0.029595371,0.06356163,0.862487161,0.088300723,0.095274932,0.09500486,0.236474388,5.139640568,0.034323247,0.126619112,0.092882826,0.093882424,0.021417105,151.8636566,375.8577381,1.435147136,8.751437646,0.199745489,0.088144995
0.02650558,0.019591829,0.044032691,0.052064978,1.521037484,0.060165219,0.013944113,0.095112978,0.100741519,5.499456856,0.006662225,0.088099046,0.045005433,0.048051031,0.053343166,2148.624047,206.7435604,0.475061772,2.640044798,0.495064627,0.94297802
0.260516011,0.071171298,0.039454906,0.070312061,0.006523476,0.055875443,0.341267483,0.059380771,0.049060021,5.717023725,0.026768024,0.008927223,0.113799121,0.034633986,0.059392771,513.258373,115.1702253,0.600194267,3.35682713,0.156840986,0.054115047
0.085565298,0.001075464,0.077913284,0.632143701,0.073396347,0.007740746,0.084634835,0.026747697,0.171460989,3.695531545,0.09765714,0.365937746,0.080236308,0.008880209,0.047242364,947.7798455,368.0223533,0.621302455,7.985889273,0.112558062,0.153393608
0.044145815,0.032393579,0.073610512,0.089534117,1.642563039,0.044813458,0.073642492,0.005058261,0.099583715,3.712447424,0.042123249,0.531500724,0.067888648,0.080300107,0.087734711,1936.411634,571.5474198,1.53889302,15.61595909,0.374341493,0.710012781
0.062210466,0.08161236,0.099637562,0.222635039,0.004848106,0.068175995,0.455473432,0.024582377,0.054797406,6.688884308,0.079810845,0.054785558,0.088202014,0.072387892,0.023161613,1174.145902,530.8401519,1.220091555,9.757766521,0.784242497,1.081035338
0.596749393,0.091668495,0.061906853,0.260599397,0.020732579,0.04732149,0.17986435,0.000129444,0.27494359,2.923465175,0.025069744,0.085393342,0.00664832,0.030628019,0.095781028,591.2776954,336.2084442,1.246507699,13.84059387,0.051386406,0.270912477
0.006889809,0.057770426,0.06439322,0.049140839,0.044419622,0.078916251,0.062687395,0.085358605,0.052965705,3.349720855,0.052855361,0.313533426,0.099329773,0.087792419,0.092544569,1590.247179,232.9826133,0.50207057,15.37512955,0.159004943,0.340065692
0.027254707,0.011284371,0.059390183,0.19974436,0.022470249,0.041255436,0.24847366,0.082724376,0.157475184,3.427376699,0.003983576,0.159206495,0.0839593,0.005038833,0.038049887,1410.762428,575.5381018,1.022509249,12.75228942,0.621517018,1.26882104
0.311914038,0.045193042,0.017617643,0.033539067,1.087792583,0.076942706,0.066216997,0.094326244,0.010737845,2.836106321,0.075796575,0.479646592,0.040728884,0.049482554,0.045815363,1921.091366,446.2417167,0.874155991,9.499721823,0.205482286,0.303809882
0.221561945,0.077969446,0.008312695,0.032030236,0.081701501,0.074323276,0.380627537,0.036721413,0.119971469,4.680331017,0.0191893,0.160242814,0.049789667,0.09655394,0.026157512,390.7045008,317.5807403,1.006289262,0.99055005,0.160953995,0.111337335
0.222861741,0.009776268,0.010325181,0.07595609,1.470184787,0.088926028,0.047017882,0.086018112,0.102307669,4.543291592,0.067776177,0.515677596,0.028006093,0.033655865,0.053005086,898.2870699,509.0487723,1.905665245,0.973107408,0.291581077,0.164288799
